time(s),voltage_2
0.8383333,4067.0
0.83916664,4067.0
0.84,4067.0
0.8408333,4067.0
0.84166664,4067.0
0.8425,4067.0
0.8433333,4080.0
0.8441667,4080.0
0.845,4080.0
0.84583336,4064.0
0.8466667,4080.0
0.8475,4080.0
0.84833336,4080.0
0.8491667,4080.0
0.85,4081.0
0.85083336,4080.0
0.8516667,4080.0
0.8525,4080.0
0.85333335,4080.0
0.8541667,4082.0
0.855,4081.0
0.85583335,4082.0
0.8566667,4081.0
0.8575,4080.0
0.85833335,4080.0
0.8591667,4080.0
0.86,4081.0
0.86083335,4082.0
0.8616667,4081.0
0.8625,4080.0
0.86333334,4082.0
0.8641667,4083.0
0.865,4081.0
0.86583334,4082.0
0.8666667,4082.0
0.8675,4081.0
0.86833334,4082.0
0.8691667,4081.0
0.87,4081.0
0.87083334,4080.0
0.87166667,4082.0
0.8725,4081.0
0.87333333,4082.0
0.87416667,4081.0
0.875,4082.0
0.87583333,4081.0
0.87666667,4082.0
0.8775,4081.0
0.87833333,4082.0
0.87916666,4081.0
0.88,4082.0
0.8808333,4081.0
0.88166666,4082.0
0.8825,4081.0
0.8833333,4082.0
0.88416666,4081.0
0.885,4082.0
0.8858333,4081.0
0.88666666,4083.0
0.8875,4081.0
0.8883333,4082.0
0.88916665,4081.0
0.89,4083.0
0.8908333,4083.0
0.89166665,4083.0
0.8925,4083.0
0.8933333,4082.0
0.89416665,4081.0
0.895,4082.0
0.8958333,4081.0
0.89666665,4083.0
0.8975,4083.0
0.8983333,4083.0
0.89916664,4083.0
0.9,4082.0
0.9008333,4081.0
0.90166664,4082.0
0.9025,4081.0
0.9033333,4083.0
0.90416664,4083.0
0.905,4083.0
0.9058333,4083.0
0.9066667,4082.0
0.9075,4081.0
0.90833336,4082.0
0.9091667,4083.0
0.91,4083.0
0.91083336,4083.0
0.9116667,4083.0
0.9125,4081.0
0.91333336,4083.0
0.9141667,4083.0
0.915,4083.0
0.91583335,4083.0
0.9166667,4083.0
0.9175,4081.0
0.91833335,4082.0
0.9191667,4081.0
0.92,4083.0
0.92083335,4083.0
0.9216667,4083.0
0.9225,4083.0
0.92333335,4083.0
0.9241667,4081.0
0.925,4082.0
0.92583334,4083.0
0.9266667,4083.0
0.9275,4083.0
0.92833334,4083.0
0.9291667,4083.0
0.93,4083.0
0.93083334,4081.0
0.9316667,4082.0
0.9325,4083.0
0.93333334,4083.0
0.93416667,4083.0
0.935,4083.0
0.93583333,4083.0
0.93666667,4083.0
0.9375,4083.0
0.93833333,4083.0
0.93916667,4083.0
0.94,4083.0
0.94083333,4083.0
0.94166666,4083.0
0.9425,4081.0
0.9433333,4083.0
0.94416666,4083.0
0.945,4083.0
0.9458333,4083.0
0.94666666,4083.0
0.9475,4081.0
0.9483333,4082.0
0.94916666,4081.0
0.95,4083.0
0.9508333,4083.0
0.95166665,4083.0
0.9525,4083.0
0.9533333,4083.0
0.95416665,4083.0
0.955,4083.0
0.9558333,4083.0
0.95666665,4083.0
0.9575,4083.0
0.9583333,4083.0
0.95916665,4083.0
0.96,4083.0
0.9608333,4083.0
0.96166664,4083.0
0.9625,4083.0
0.9633333,4083.0
0.96416664,4083.0
0.965,4083.0
0.9658333,4083.0
0.96666664,4083.0
0.9675,4083.0
0.9683333,4083.0
0.9691667,4083.0
0.97,4083.0
0.97083336,4083.0
0.9716667,4083.0
0.9725,4083.0
0.97333336,4083.0
0.9741667,4083.0
0.975,4083.0
0.97583336,4083.0
0.9766667,4083.0
0.9775,4083.0
0.97833335,4083.0
0.9791667,4083.0
0.98,4083.0
0.98083335,4083.0
0.9816667,4083.0
0.9825,4083.0
0.98333335,4083.0
0.9841667,4083.0
0.985,4083.0
0.98583335,4081.0
0.9866667,4083.0
0.9875,4083.0
0.98833334,4083.0
0.9891667,4083.0
0.99,4083.0
0.99083334,4083.0
0.9916667,4083.0
0.9925,4083.0
0.99333334,4083.0
0.9941667,4083.0
0.995,4083.0
0.99583334,4083.0
0.99666667,4083.0
0.9975,4083.0
0.99833333,4083.0
0.99916667,4083.0
